Accreditation,FarmName,Barangay,Municipality,Province,ContactPerson,DateEvaluated,ExpiryDate
Gamefowl Breeder,LONGSCORE GAMEFARM,Pag asa,Taysan,Batangas,Mr. Celso Evangelista,2/1/2016,2018
Gamefowl Breeder,BLUE BLADE GAMEFARM,San Lorenzo,San Pablo,Laguna,Mr. Sonny Lagon,2/1/2016,2018
Gamefowl Breeder,ALTUZ GAMEFARM,Tabe,Guiguinto,Bulacan,Mr. Rico Nabong,2/1/2016,2018
Gamefowl Breeder,NB FARM,-,Batangas,Padre Garcia,Mr. John Nolasco,2/1/2016,2018
Gamefowl Breeder,P-KRAM DAONG BREEDING FARM,Plaza Aldea,Tanay,Rizal,Mr. Victor Piguing,2/1/2016,2018
Gamefowl Breeder,SAN LEONARDO FARM,Mambangnan,San Leonardo,Nueva Ecija ,Mr. Froilan Nagano,3/1/2016,2018
Gamefowl Breeder,WIND WALKER GAMEFARM II,Anupul,Bamban,Tarlac,Mr. Angel Arciaga,8/1/2016,2018
Gamefowl Breeder,BOY J LUNAO GAMEFARM,Mandalagan,Bacolod,Negros Occidental,Mr. Hernani Jimenez,11/1/2016,2018
Gamefowl Breeder,JAMA GAMEFARM,Bulak,Sta. Maria,Bulacan,"Mr. Felixberto Ama, Jr.",11/1/2018,2020
Gamefowl Breeder,ORANGE EGG FARM,Vintar,Laoag,Ilocos Norte,Mr. Victor Ang,1/1/2017,2019
Gamefowl Breeder,JAMES RHYAN GAMEFARM,Bancod,Indang,Cavite,Ms. Rhia Vernadeth Macapulay,3/1/2017,2019
Gamefowl Breeder,PALTZON FARM,Cabalantian,Bacolor,Pampanga,Mr. Jose Maria Hizon,10/1/2017,2019
Swine Breeder,3J Sireline Nucleus Farm,San Pedro,Tiaong,Quezon,Mrs. Josefina Agoncillo,4/21/2017,2019
Swine Breeder,BROOKSIDE BREEDING AND GENETICS CORPORATION,Sto. Rosario,Capas,Tarlac,Dr. Sheryll Mae Caguicla,5/21/2016,2018
Swine Breeder,CHAROEN POKPHAND FOODS PHILS. CORP.,Tinang,Concepcion,Tarlac,Dr. Verman Guevara,5/24/2017,2019
Swine Breeder,CREEKVIEW STOCK BREEDING FARM,San Jose,Sta. Cruz,Laguna,Mr. Phil Balot,5/12/2017,2019
Swine Breeder,DAVAO CRESTA FARM INC. c/o TOPIGS,-,Davao City,Davao ,Mr. Wilfred Teves,2/16/2017,2019
Swine Breeder,DEPO BREEDING CENTER,Campos,Talavera,Nueva Ecija,Dr. Romulo Parayao,3/3/2017,2019
Swine Breeder,DEPO GENETIC CENTER c/o TOPIGS,Campos,Talavera,Nueva Ecija,Dr. Romulo M. Parayao,10/20/2015,2017
Swine Breeder,"EUROPHIL SWINE GENETICS, INC.",Ibaan,Batangas,-,Mr. Leo Apo,10/4/2016,2018
Swine Breeder,"EXCELSIOR FARMS, INC.",Sacsac,Pinamungahan,Cebu,Mr. Paul Holaysan Dr. Gil Austria,4/6/2018,2020
Swine Breeder,"FOREMOST FARMS, INC.",Pinugay,Baras,Rizal,Dr. Jaime Sison,4/27/2017,2019
Swine Breeder,HOLIDAY HILLS STOCK AND BREEDING FARM,San Antonio,San Pedo,Laguna,Ms. Daisy,2/18/2016,2018
Swine Breeder,"HYPIG GENETICS, INC. –ATIS FARM",San Rafael,Bamban,Tarlac,Dr. Nenette Alvis,4/25/2017,2019
Swine Breeder,"INTEGRATED MOBILIZERS INDUSTRIES FARMS (IMI), INC.",Gayagaya,San Jose del Monte City,Bulacan,Ms. Ana Mallari,10/4/2017,2019
Swine Breeder,INTERNATIONAL FARM CORPORATION (INFARMCO),San Isidro,Cabuyao,Laguna,Dr. Wilfredo Resoso,3/31/2016,2018
Swine Breeder,"INTERNATIONAL SWINE GENETICS, INC",Sta. Lourdes,Puerto Princesa,Palawan,Dr. Wilfredo Resoso,6/8/2016,2018
Swine Breeder,"JAMARLI, INC. (JALTAS HOGS)",Ma Ao,Bago City,Negros Occidental,Ms. Erika Pernas,9/28/2017,2019
Swine Breeder,"JHON & JHON FARMS, INC.",Macamot,Binangonan,Rizal,Ms. Christine Kesner,3/9/2017,2019
Swine Breeder,"LUZ FARM, INC.",Pinagsibaan,Rosario,Batangas,Ms. Loni Laurista,3/20/2018,2020
Swine Breeder,MC QUARRY PIGGERY,Kaliwanagan,San Jose City,Nueva Ecija,Dr. Benita Magannon,4/20/2017,2019
Swine Breeder,PACIFIC BREEDERS CORPORATION,Balasing,Sta. Maria,Bulacan,Ms. Ana Mallari,5/25/2016,2018
Swine Breeder,"PROGRESSIVE FARMS, INC.",Palian,Tupi,South Cotabato,Mr. Benito Lim Jr.,9/17/2017,2019
Swine Breeder,QJJ FARM Inc.,Virgen Delos Remedios,Bamban,Tarlac,Ms. Mariella Joy Masiclat,5/31/2017,2019
